time,ChestTurnRight,ChestTurnLeft
0
0.2737069,0.1034306,
0.5359626,0.1044965,
0.7984028,0.04632888,
1.05883,,0.01746769
1.327121,,0.06022864
1.598678,,0.07450411
1.870089,,0.06925699
2.364961,,0.06040432
2.640592,,0.03873949
2.948123,,0.04040645
3.205887,,0.02545057
3.478978,,0.01176942
3.742985,,0.02706112
4.007479,,0.06113131
4.258683,,0.1183734
4.524098,,0.1513824
4.778617,,0.1765947
5.03698,,0.1944031
5.297188,,0.2887833
5.56496,,0.4393077
5.818963,,0.5272646
6.082042,,0.4536646
6.333646,,0.4222976
6.595856,,0.4760928
6.85214,,0.4694266
7.110946,,0.4916904
7.37581,,0.3920903
7.627671,,0.3921801
7.895538,,0.5061054
8.164083,,0.5130705
8.422235,,0.5230134
8.686657,,0.5688697
8.958534,,0.6132583
9.224766,,0.6539004
9.500474,,0.3599134
9.763902,,0.3751839
10.02107,,0.4630929
10.27488,,0.590826
10.5475,,0.5382385
10.80899,,0.5762674
11.07527,,0.5890543
11.32884,,0.4660764
11.58346,,0.2986245
11.84424,,0.4796677
12.10889,,0.6352286
12.36198,,0.6241987
12.61815,,0.709954
12.87581,,0.7408467
13.14021,,0.7098619
13.4172,,0.6668283
13.67177,,0.6916397
13.94768,,0.6761408
14.20838,,0.6792495
14.45918,,0.7303696
14.72532,,0.6981655
14.99216,,0.4264802
15.24902,,0.2449577
15.49909,,0.0409059
15.75571,0.1658945,
16.02352,0.3617314,
16.28657,0.5424725,
16.54612,0.6178535,
16.81952,0.9331982,
17.07344,1.275745,
17.33676,1.351211,
17.58747,1.520414,
17.83916,1.60825,
18.09665,1.585192,
18.35206,1.563231,
18.61118,1.582244,
18.87818,1.667759,
19.13995,1.633618,
19.40489,1.57211,
19.66828,1.25233,
19.93266,1.19824,
20.18654,1.067718,
20.4508,0.9656129,
20.70345,0.8430884,
20.97661,0.7180339,
21.24385,0.5959625,
21.49574,0.3322642,
21.75806,,0.1193208
22.02217,,0.4453437
22.2871,,0.7239215
22.55164,,0.7222737
22.80186,,0.7249545
23.05278,,0.7338695
23.30453,,0.5578623
23.55599,,0.2254721
23.82506,,0.1220798
24.08512,,0.1896486
24.34915,,0.217112
24.62074,,0.2260106
24.87557,,0.2231847
25.13879,,0.1782873
25.40611,,0.1588388
25.65772,,0.1385783
25.90853,,0.1360661
26.15888,,0.1534953
26.41008,,0.1743613
26.67232,,0.192234
26.92625,,0.2028684
27.19351,,0.2170941
27.45094,,0.2838638
27.70242,,0.3989573
27.96045,,0.6359146
28.21622,,0.9047633
28.46758,,1.068277
28.73957,,1.285479
28.9932,,1.317234
29.24833,,1.09953
29.51701,,0.7481533
29.78776,,0.3467094
30.04177,0.003005774,
30.29317,0.1537825,
30.54399,0.136774,
30.80745,0.09306087,
31.0705,0.09245532,
31.33648,0.1390536,
31.59939,0.2042438,
31.85333,0.2317473,
32.11599,0.227358,
32.3788,0.2814951,
32.62919,0.4931639,
32.88366,0.5169618,
33.13409,0.4992484,
33.39597,0.4581845,
33.64729,0.3156727,
33.91505,,0.08438251
34.1788,,0.30532
34.43999,,0.4429871
34.69234,,0.4906753
34.94312,,0.5068376
35.2076,,0.5178496
35.47046,,0.537415
35.73899,,0.4919279
36.01471,,0.4589638
36.28039,,0.4405836
36.54129,,0.4315248
36.7948,,0.4057455
37.05751,,0.2344799
37.32257,,0.2149018
37.57471,,0.2314105
37.83799,,0.2064773
38.08919,,0.05134127
38.35246,,0.002038377
38.60793,,0.004374049
38.86843,0.04030943,
39.13479,0.11262,
39.38659,0.1500941,
39.64802,0.1332915,
39.91212,0.1799394,
40.17604,0.5050308,
40.42701,1.004001,
40.69207,1.244596,
40.95467,1.362033,
41.22383,1.520434,
41.49694,1.707619,
41.75976,1.728256,
42.01558,1.640031,
42.28993,1.60405,
42.54084,1.569338,
42.79632,1.540308,
43.05944,1.483096,
43.31874,1.112535,
43.56955,0.6876091,
43.82772,0.3029218,
44.10191,0.03620584,
44.35375,,0.1146037
44.60511,,0.1826622
44.85735,,0.1473526
45.11826,,0.1615546
45.38542,,0.2759468
45.63596,,0.3410812
45.90082,,0.2350359
46.16633,0.04598158,
46.42739,0.1218971,
46.69425,0.09845753,
46.96592,0.09949875,
47.22281,0.1203644,
47.48197,0.114866,
47.75075,0.1145776,
48.00901,0.08133666,
48.26515,0.04439522,
48.52163,0.03344727,
48.78073,0.0406278,
49.04578,0.04874792,
49.3096,0.05244806,
49.56255,0.0982262,
49.82502,0.1530033,
50.07659,0.2334445,
50.33925,0.2933276,
50.60212,0.3354867,
50.85455,0.3872535,
51.11876,0.4597042,
51.37218,0.5294969,
51.63205,0.5819654,
51.90027,0.5673625,
52.17427,0.5984511,
52.42788,0.6169781,
52.68651,0.6109402,
52.94369,0.5891454,
53.19456,0.3433976,
53.46655,0.1698386,
53.72298,0.03313657,
53.98461,,0.1062421
54.2492,,0.170413
54.50769,,0.2166741
54.76666,,0.2536593
55.03011,,0.3064241
55.28284,,0.3232892
55.54873,,0.3337879
55.81044,,0.3374924
56.07567,,0.3637542
56.32817,,0.3725527
56.59378,,0.4600854
56.85624,,0.4596504
57.10917,,0.3789206
57.3727,,0.06404427
57.6351,,0.01473702
57.88578,,0.01158947
58.15134
58.47639
58.72769
59.00448
59.34237
59.62405
59.9474
60.25889
60.53211
60.9045
61.17386
61.47328
61.74183
62.03222
62.37928
62.81596
