time,Stimuli_Woman&KnockingSoundResume_trigger,Stimuli_KnockingSoundResume_trigger,Stimuli_Woman&KnockingSoundPause_trigger,Stimuli_DoorOpeningSound_trigger,Stimuli_DoorOpeningSound_distance,Stimuli_WomanSound_trigger,Stimuli_DoorKnockingSound_trigger,Stimuli_DoorFrontArea_trigger,Stimuli_DoorFrontArea_distance,Stimuli_EnvironmentSound_trigger,ClosetDoor_Handle_trigger,RedDoor_Lock_trigger,RedDoor_Handle_trigger,Door_3_Handle_trigger,Door_2_Handle_trigger,RightHandLight_trigger,LeftHandLight_trigger
0,,,,,6.810084,,,,11.93666,,,,,,,,
0.2717934,,,,,7.239099,,,,12.42071,,,,,,,,
0.5255268,,,,,7.239088,,,,12.42067,,,,,,,,
0.7935703,,,,,7.239481,,,,12.42127,,,,,,,,
1.047706,,,,,7.240621,,,,12.42375,,,,,,,,
1.304152,,,,,7.247491,,,,12.43178,,,,,,,,
1.554404,,,,,7.258959,,,,12.44396,,,,,,,,
1.814361,,,,,7.262464,,,,12.44646,,,,,,,,
2.072142,,,,,7.261642,,,,12.44492,,,,,,,,
2.347356,,,,,3.256198,,,,8.494734,,,,,,,,
2.607327,,,,,3.252294,,,,8.49033,,,,,,,,
2.865484,,,,,3.247056,,,,8.485162,,,,,,,,
3.123833,,,,,3.241871,,,,8.480813,,,,,,,,
3.375541,,,,,3.239474,,,,8.478946,,,,,,,,
3.640825,,,,,3.244473,,,,8.483877,,,,,,,,
3.906425,,,,,3.25104,,,,8.490467,,,,,,,,
4.167007,,,,,3.254764,,,,8.494687,,,,,,,,
4.431484,,,,,3.256573,,,,8.497533,,,,,,,,
4.683334,,,,,3.268298,,,,8.512401,,,,,,,,
4.937318,,,,,3.292048,,,,8.537621,,,,,,,,1
5.191624,,,,,3.293412,,,,8.539699,,,,,,,,1
5.447223,,,,,1.471822,,,,4.094468,,,,,,,,1
5.710677,,,,,1.465801,,,,4.093598,,,,,,,,
5.963362,,,,,1.45379,,,,4.103622,,,,,,,,1
6.227269,,,,,4.505989,1,,,1.479649,,,,,,,,
6.479009,,,,,4.510231,1,,,1.489339,,,,,,,,1
6.743336,,,,,4.511901,1,,,1.498213,,,,,,,,
7.009485,,,,,4.501462,1,,,1.516769,,,,,,,,1
7.260032,,,,,4.492378,1,,,1.537124,,,,,,,,1
7.527431,,,,,4.492544,1,,,1.55201,,,,,,,,1
7.80301,,,,,4.499578,1,,,1.556065,,,,,,,,1
8.061826,,,,,4.49409,1,,,1.56011,,,,,,,,1
8.314471,,,,,4.500038,1,,,1.571594,,,,,,,,1
8.566466,,,,,4.520025,1,,,1.569727,,,,,,,,1
8.828695,,,,,4.554642,1,,,1.570219,,,,,,,,1
9.084059,,,,,4.579464,1,,,1.561276,,,,,,,,1
9.347182,,,,,4.595336,,,,1.630294,,,,,,,,1
9.697408,,,,,4.650139,,,,1.665259,,,,,,,,1
9.977081,,,,,4.650139,,,,1.665259,,,,,,,,1
10.26855,,,,,4.650139,,,,1.665259,,,,,,,,1
10.55261,,,,,4.650139,,,,1.665259,,,,,,,,1
10.8641,,,,,4.650139,,,,1.665259,,,,,,,,1
11.12758,,,,,4.650139,,,,1.665259,,,,,,,,1
11.38353,,,,,4.650139,,,,1.665259,,,,,,,,1
11.64096,,,,,5.427921,,,,2.172074,,,,,,,,1
11.89417,,,,,5.427921,,,,2.172074,,,,,,,,1
12.15418,,,,,5.427921,,,,2.172074,,,,,,,,1
12.57998,,,,,5.427921,,,,2.172074,,,,,,,,1
